Time, Req/s, active_users, throughput mg-node-a, throughput mg-node-b
2023-01-15 14:24:50, 73.4, 10.5, 73.4, 0
2023-01-15 14:24:55, 207, 25.5, 207, 0
2023-01-15 14:25:00, 348, 40.5, 348, 0
2023-01-15 14:25:05, 458, 55.5, 458, 0
2023-01-15 14:25:10, 587, 70.5, 587, 0
2023-01-15 14:25:15, 741, 85.5, 741, 0
2023-01-15 14:25:20, 869, 101, 869, 0
2023-01-15 14:25:25, 1015, 116, 1005, 10.6
2023-01-15 14:25:30, 1127, 131, 1103, 23.6
2023-01-15 14:25:35, 1278, 146, 1250, 27.8
2023-01-15 14:25:40, 1418, 161, 1395, 22.8
2023-01-15 14:25:45, 1540, 176, 1509, 31.2
2023-01-15 14:25:50, 1628, 191, 1568, 59.4
2023-01-15 14:25:55, 1762, 206, 1673, 89.8
2023-01-15 14:26:00, 1838, 221, 1694, 144
2023-01-15 14:26:05, 1973, 236, 1767, 206
2023-01-15 14:26:10, 2154, 251, 1860, 294
2023-01-15 14:26:15, 2231, 266, 1863, 368
2023-01-15 14:26:20, 2412, 281, 1932, 480
2023-01-15 14:26:25, 2499, 296, 1955, 544
2023-01-15 14:26:30, 2628, 311, 2022, 606
2023-01-15 14:26:35, 2685, 326, 2007, 678
2023-01-15 14:26:40, 2861, 341, 2094, 766
2023-01-15 14:26:45, 2939, 356, 2125, 814
2023-01-15 14:26:50, 2920, 371, 2062, 858
2023-01-15 14:26:55, 3142, 386, 2175, 967
2023-01-15 14:27:00, 3121, 401, 2117, 1004
2023-01-15 14:27:05, 3317, 416, 2213, 1105
2023-01-15 14:27:10, 3378, 431, 2194, 1183
2023-01-15 14:27:15, 3426, 446, 2175, 1251
2023-01-15 14:27:20, 3478, 461, 2220, 1258
2023-01-15 14:27:25, 3543, 477, 2216, 1326
2023-01-15 14:27:30, 3589, 491, 2225, 1363
2023-01-15 14:27:35, 3549, 506, 2192, 1357
2023-01-15 14:27:40, 3557, 521, 2188, 1369
2023-01-15 14:27:45, 3538, 536, 2159, 1379
2023-01-15 14:27:50, 3370, 551, 1970, 1400
2023-01-15 14:27:55, 3055, 567, 1809, 1246
2023-01-15 14:28:00, 2686, 581, 1581, 1106
2023-01-15 14:28:05, 2424, 597, 1442, 983
2023-01-15 14:28:10, 2158, 612, 1281, 876
2023-01-15 14:28:15, 1863, 626, 1165, 698
2023-01-15 14:28:20, 1865, 640, 1136, 729
2023-01-15 14:28:25, 1864, 655, 1150, 714
2023-01-15 14:28:30, 1815, 668, 1032, 783
2023-01-15 14:28:35, 1614, 684, 935, 679
2023-01-15 14:28:40, 1638, 702, 907, 730
2023-01-15 14:28:45, 1574, 714, 893, 680
2023-01-15 14:28:50, 1540, 729, 867, 672
2023-01-15 14:28:55, 1327, 744, 742, 586
2023-01-15 14:29:00, 1300, 760, 697, 604
2023-01-15 14:29:05, 1233, 775, 701, 532
2023-01-15 14:29:10, 1252, 792, 791, 462
2023-01-15 14:29:15, 1310, 804, 849, 461
2023-01-15 14:29:20, 1319, 817, 804, 515
2023-01-15 14:29:25, 1393, 834, 805, 588
2023-01-15 14:29:30, 1332, 847, 765, 566
2023-01-15 14:29:35, 1186, 865, 702, 484
2023-01-15 14:29:40, 1132, 882, 637, 496
2023-01-15 14:29:45, 1360, 894, 787, 573
2023-01-15 14:29:50, 1666, 907, 1009, 658
2023-01-15 14:29:55, 1848, 923, 1206, 642
2023-01-15 14:30:00, 1683, 937, 1087, 595
2023-01-15 14:30:05, 1548, 953, 957, 591
2023-01-15 14:30:10, 959, 683, 557, 403
